PM Vidyalaxmi Institutes (All);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4
768;U-0898;Footwear Design and Development Institute;Uttar Pradesh;Central Government
769;C-58652;FOOTWEAR DESIGN AND DEVELOPMENT INSTITUTE - RAE BARELI;Uttar Pradesh;Central Government
770;U-0864;Harcourt Butler Technical University;Uttar Pradesh;State Government
771;C-12510;I.G.R.U. ACADEMY, FURSATGANJ AIRFIELD,;Uttar Pradesh;Central Government
772;C-46732;INDIAN INSTITUTE OF CARPET TECHNOLOGY, BHADOHI;Uttar Pradesh;Central Government
773;S-14554;INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY, VARANASI;Uttar Pradesh;Central Government
774;U-0516;Indian Institute of Information Technology Allahabad;Uttar Pradesh;Central Government
775;U-0801;INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, LUCKNOW;Uttar Pradesh;Central Government
776;U-1008;Indian Institute of Management Lucknow;Uttar Pradesh;Central Government
777;U-0701;Indian Institute of Technology (Banaras Hindu University) Varanasi;Uttar Pradesh;Central Government
778;U-0517;Indian Institute of Technology Kanpur;Uttar Pradesh;Central Government
779;U-0518;Indian Veterinary Research Institute, Izatnagar;Uttar Pradesh;Central Government
780;S-394;Institute of Management Technology;Uttar Pradesh;Private
781;S-419;Jaipuria Institute of Management Lucknow;Uttar Pradesh;Private
782;S-3283;Jaipuria Institute of Management Noida;Uttar Pradesh;Private
783;C-46111;KIET Group of Institutions: KIET Group of Pharmacy;Uttar Pradesh;Private
784;U-0523;King George`s Medical University;Uttar Pradesh;State Government
785;U-0739;Madan Mohan Malaviya University of Technology;Uttar Pradesh;State Government
786;U-0525;Mahatama Jyotiba Phule Rohikhand University, Bareilly;Uttar Pradesh;State Government
787;U-0530;Motilal Nehru National Institute of Technology, Allahabad;Uttar Pradesh;Central Government
788;S-17656;National Institute of Pharmaceutical Education and Research Raebareli;Uttar Pradesh;Central Government
789;S-8962;NATIONAL SUGER INSTITUTE, KANPUR;Uttar Pradesh;Central Government
790;C-62971;Noida Institute of Engineering and Technology (Pharmacy Institute);Uttar Pradesh;Private
791;U-0535;Rajiv Gandhi Institute of Petroleum Technology;Uttar Pradesh;Central Government
792;U-1117;RAJIV GANDHI NATIONAL AVIATION UNIVERSITY;Uttar Pradesh;Central Government
793;U-1198;Rani Lakshmi Bai Central Agricultural University;Uttar Pradesh;Central Government
794;U-0536;Sam Higginbottom Institute of Agriculture, Technology and Sciences;Uttar Pradesh;State Government
795;U-0538;Sanjay Gandhi Postgraduate Institute of Medical Sciences;Uttar Pradesh;State Government
796;U-0642;Shiv Nadar University;Uttar Pradesh;Private
797;U-0548;University of Allahabad, Allahabad;Uttar Pradesh;Central Government
798;U-0524;University of Lucknow;Uttar Pradesh;State Government
799;U-0882;Uttar Pradesh University of Medical Sciences;Uttar Pradesh;State Government
800;U-0691;All India Institute of Medical Sciences Rishikesh;Uttarakhand;Central Government
801;U-0553;Forest Research Institute, Dehradun;Uttarakhand;Central Government
802;U-0554;G.B. Pant Universtiy of Agriculture and Technology;Uttarakhand;State Government
803;U-0555;Graphic Era University;Uttarakhand;Private
804;U-0557;Hemwati Nandan Bahuguna Garhwal Univeristy, Srinagar, Garhwal;Uttarakhand;Central Government
805;U-1009;Indian Institute of Management Kashipur;Uttarakhand;Central Government
806;U-0560;Indian Institute of Technology Roorkee;Uttarakhand;Central Government
807;U-0562;Kumaun University, Nainital;Uttarakhand;State Government
808;U-0616;National Institute of Technology Uttarakhand;Uttarakhand;Central Government
809;U-0564;UPES;Uttarakhand;Private
810;C-16448;Ali Yabar Jung National Institute of Hearing Handicapped;West Bengal;Central Government
811;C-16390;All India Institute of Hygiene and Public Health;West Bengal;Central Government
812;U-1052;ALL INDIA INSTITUTE OF MEDICAL SCIENCE KALYANI;West Bengal;Central Government
813;C-11991;Bethune College;West Bengal;State Government
814;U-0568;Bidhan Chandra Krishi Vishwavidyalaya;West Bengal;State Government
815;U-0570;Calcutta University;West Bengal;State Government
816;C-16396;Central Research Institute of Ayurveda;West Bengal;Central Government
817;C-44043;Central Sericultural Research & Training Institute;West Bengal;Central Government
818;S-10893;CENTRAL TOOL ROOM & TRAINING CENTRE NORTH 24 PARGANAS;West Bengal;Central Government
819;C-16410;Chittaranjan National Cancer Institute;West Bengal;Central Government
820;C-16434;College of Nursing, Command Hospital;West Bengal;Central Government
821;C-16409;Command Hospital;West Bengal;Central Government
822;C-6178;Dr. B. C. Roy College of Pharmacy and Allied Health Sciences;West Bengal;Private
823;C-16426;E S I, Joka;West Bengal;Central Government
824;S-10906;Guru Nanak Institute of Pharmaceutical Science and Technology;West Bengal;Private
825;U-1049;INDIAN ASSOCIATION FOR THE CULTIVATION OF SCIENCE;West Bengal;Central Government
826;U-0584;INDIAN INSTITUTE OF ENGINEERING SCIENCE AND TECHNOLOGY, SHIBPUR;West Bengal;Central Government
827;S-15353;INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY;West Bengal;Central Government
828;U-0796;INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KALYANI;West Bengal;Central Government
829;U-1019;Indian Institute of Management Calcutta;West Bengal;Central Government
830;U-0572;Indian Institute of Science Education and Research Kolkata;West Bengal;Central Government
831;U-0573;Indian Institute of Technology Kharagpur;West Bengal;Central Government
832;U-0574;Indian Statistical Institute, Kolkata;West Bengal;Central Government
833;C-16428;Institute of Post Graduate Medical Education and Research;West Bengal;State Government
834;S-10917;International Management Institute, Kolkata;West Bengal;Private
835;U-0575;Jadavpur University;West Bengal;State Government
836;U-0576;Kalyani University;West Bengal;State Government
837;U-0592;Maulana Abul Kalam Azad University of Technology;West Bengal;State Government
838;C-16424;Medical College;West Bengal;State Government
839;C-19103;Midnapore College;West Bengal;Private
840;C-43354;National Institute for Mentally Handicapped;West Bengal;Central Government
841;C-16392;National Institute of Homoeopathy;West Bengal;Central Government
842;S-19746;National Institute of Pharmaceutical Education and Research Kolkata;West Bengal;Central Government
843;U-1330;National Institute of Technical Teachers Training and Research Kolkata;West Bengal;Central Government
844;U-0577;National Institute of Technology Durgapur;West Bengal;Central Government
845;U-0578;Netaji Subhash Open University;West Bengal;State Government
846;U-0579;North Bengal University, Darjeeling;West Bengal;State Government
847;U-0580;Presidency University;West Bengal;State Government
848;C-43402;Rama Krishna Mission Vivekananda Centenary College;West Bengal;Private
849;C-42814;Ramakrishna Mission Residential College;West Bengal;Private
850;C-11926;Ramakrishna Mission Vidyamandira;West Bengal;Private
851;C-39254;Saha Institute of Nuclear Physics (SINP),Kolkata;West Bengal;Central Government
852;C-11964;Scottish Church College;West Bengal;Private
853;C-11881;St. Xavier`s College;West Bengal;Private
854;U-0585;The West Bengal National University of Juridical Sciences;West Bengal;State Government
855;U-0569;University of Burdwan;West Bengal;State Government
856;U-0587;Uttar Banga Krishi Vishwavidyalaya;West Bengal;State Government
857;C-39251;Variable Energy Cyclotron Centre (VECC),Kolkata;West Bengal;Central Government
858;U-0588;Vidyasagar University;West Bengal;State Government
859;U-0589;Visva Bharati, Shantiniketan;West Bengal;Central Government
860;U-0591;West Bengal University of Animal and Fishery Sciences;West Bengal;State Government
